column,unit/type,description
id,integer,"Sequential row identifier from 1 to 1,800,000"
timestamp,ISO datetime,Evenly spaced timestamps from 2020-01-01 to 2026-06-23
rpm,rpm,"Fixed-speed screw compressor shaft/motor speed around 1,485-1,500 rpm"
motor_power,W,Electrical power consumption in watts; nominal 110 kW class
torque,N·m,Calculated from kW and RPM: torque = 9550*kW/RPM
outlet_pressure_bar,bar,Discharge/outlet pressure
air_flow,L/min,Free air delivery / compressed air flow proxy in litres per minute
noise_db,dB,Acoustic noise level
outlet_temp,°C,Compressor outlet/discharge temperature
wpump_outlet_press,bar,Cooling water pump outlet pressure
water_inlet_temp,°C,Cooling water inlet temperature
water_outlet_temp,°C,Cooling water outlet temperature
wpump_power,W,Cooling water pump power
water_flow,L/min,Cooling water flow
oilpump_power,W,Oil pump power
oil_tank_temp,°C,Oil tank temperature
gaccx/gaccy/gaccz,g,General accelerometer vibration axes
haccx/haccy/haccz,g,High-frequency accelerometer vibration axes
bearings,category,Ok / Noisy / Worn
wpump,category,Ok / Noisy / Low Flow
radiator,category,Clean / Dirty / Blocked
exvalve,category,Clean / Sticky / Blocked
acmotor,category,Stable / Unstable / Overload
kw_consumption,kW,Power consumption in kW
load_pct,%,Synthetic compressor load percentage
compressor_size_kw,kW,Rated compressor size fixed at 110 kW
condition_label,category,Overall synthetic condition label
failure_next_24h,binary,1 when a fault event is active or predicted within the next ~24 hours; else 0
